,kota,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14
0,Bangkoor,Bayam,Sawi,Bawang Merah,Kangkung,Terung,Buncis,Brokoli,Kubis,Cabai Merah,Cabai Rawit,Tomat,Wortel,Kentang,Kacang Panjang
1,Bloro,Kangkung,Bawang Merah,Sawi,Tomat,Bayam,Terung,Buncis,Cabai Rawit,Brokoli,Kubis,Cabai Merah,Wortel,Kentang,Kacang Panjang
2,Kloangpopot,Tomat,Terung,Bayam,Kangkung,Sawi,Kacang Panjang,Bawang Merah,Buncis,Brokoli,Kubis,Cabai Merah,Wortel,Kentang,Cabai Rawit
3,Kolidetung,Sawi,Bayam,Bawang Merah,Kangkung,Terung,Cabai Rawit,Buncis,Tomat,Cabai Merah,Brokoli,Kubis,Wortel,Kentang,Kacang Panjang
4,Kolisia,Kangkung,Sawi,Bawang Merah,Bayam,Tomat,Cabai Rawit,Cabai Merah,Terung,Kacang Panjang,Brokoli,Kubis,Buncis,Wortel,Kentang
5,Kolisia B,Kangkung,Sawi,Bawang Merah,Bayam,Tomat,Cabai Rawit,Cabai Merah,Terung,Kacang Panjang,Brokoli,Kubis,Buncis,Wortel,Kentang
6,Korowuwu,Sawi,Bayam,Bawang Merah,Kangkung,Terung,Cabai Rawit,Tomat,Buncis,Cabai Merah,Brokoli,Kubis,Wortel,Kentang,Kacang Panjang
7,Kota Uneng,Bayam,Sawi,Terung,Kangkung,Bawang Merah,Brokoli,Kubis,Buncis,Cabai Merah,Cabai Rawit,Tomat,Kacang Panjang,Wortel,Kentang
8,Koting A,Sawi,Kangkung,Bayam,Terung,Bawang Merah,Tomat,Buncis,Brokoli,Kubis,Kacang Panjang,Wortel,Kentang,Cabai Merah,Cabai Rawit
9,Koting B,Sawi,Kangkung,Bayam,Terung,Bawang Merah,Tomat,Buncis,Brokoli,Kubis,Kacang Panjang,Wortel,Kentang,Cabai Merah,Cabai Rawit
10,Koting C,Sawi,Bawang Merah,Kangkung,Bayam,Terung,Tomat,Buncis,Brokoli,Kubis,Kacang Panjang,Wortel,Kentang,Cabai Rawit,Cabai Merah
11,Ladogahar,Kangkung,Sawi,Bawang Merah,Bayam,Terung,Tomat,Buncis,Cabai Rawit,Brokoli,Kubis,Wortel,Kentang,Cabai Merah,Kacang Panjang
