jenis_tanaman;suhu;suhu_interpolasi;curah_hujan;curah_hujan_interpolasi;kelembapan;kelembapan_interpolasi;jenis_tanah;tekstur_tanah;ph;ph_interpolasi;kemiringan;kemiringan_interpolasi;topografi;topografi_interpolasi
Bawang Merah;10-30;0,25,32,57;350-800;0,300,2500,2800;80-90;0,80,90,170;Alluvial;Liat berpasir;6-8;0,5.6,6.5,12.1;5.5-16;0,30,60;700-1000;0,700,1000,1700
Cabai Merah;18-27;0,18,26,44;600-1400;0,600,1200,1800;18-30;0,18,30,48;Alluvial;Liat berpasir;6-8;0,5.5,6.8,12.3;5.5-16;0,25,50;900-1800;0,900,1800,2700
Cabai Rawit;18-27;0,18,27,44;600-1400;0,600,1400,2000;18-30;0,18,30,48;Alluvial;Liat berpasir;6-8;0,6.0,8.0,14.0;5.5-16;0,8,16,25;900-1800;0,900,1800,2700
Tomat;18-30;0,18,26,44;400-800;0,400,700,1100;24-90;0,35,80,115;Regosol;Liat berpasir;6-8;0,5.5,7.0,12.5;5.5-8;0,45,90;350-750;0,350,750,1100
Wortel;16-20;0,16,20,45;65-80;0,65,80,120;40-90;0,40,90,120;Alluvial;Lempung berliat;5.6-8;0,5.6,8,14;5.5-8;0,8,16,25;1000-1200;0,1000,1200,1600
Kentang;16-20;0,16,20,45;250-600;0,250,600,900;40-90;0,40,90,120;Alluvial;Lempung berliat;6-7.6;0,6.0,7.6,14.0;5.5-8;0,8,16,25;1000-1200;0,1000,1200,1600
Terung;16-28;0,16,28,45;250-600;0,250,600,900;40-90;0,40,90,120;Alluvial;Liat berpasir;6-7.6;0,6.0,7.6,14.0;5.5-8;0,8,16,25;1-1200;0,1,1200,1400
Bayam;22-32;0,22,32,40;400-1000;0,400,1000,1200;24-90;0,24,90,120;Alluvial;Liat berpasir;5.8-8;0,5.8,8.0,14.0;5.5-16;0,8,16,25;5-2000;0,5,2000,2200
Buncis;13-30;0,13,30,40;350-1000;0,350,1000,1200;65-95;0,65,95,120;Regosol;Liat berpasir;6-7.8;0,6,8,14;5.5-16;0,8,16,25;1000-1500;0,1000,1500,1700
Brokoli;12-27;0,12,27,35;350-1000;0,350,1000,1200;42-90;0,42,90,120;Alluvial;Liat berpasir;5.6-8;0,5.6,8.0,14.0;5.5-16;0,8,16,25;1000-2000;0,1000,2000,2200
Kubis;12-27;0,12,27,35;350-1000;0,350,1000,1200;42-90;0,42,90,120;Alluvial;Liat berpasir;5.6-8;0,5.6,8.0,14.0;5.5-16;0,8,16,25;1000-2000;0,1000,2000,2200
Sawi;18-30;0,18,30,35;1000-4000;0,1000,4000,4200;30-42;0,30,42,50;Alluvial;Liat berpasir;5.5-8;0,5.5,8.0,14.0;5.5-16;0,8,16,25;5-1200;0,5,1200,1400
Kacang Panjang;14-23;0,14,23,30;350-800;0,350,800,1000;50-90;0,50,90,100;Alluvial;Liat berpasir;6-8;0,6.0,8.0,14.0;5.5-16;0,8,16,25;600-1500;0,600,1500,1700
Kangkung;20-30;0,20,30,35;500-5000;0,500,5000,5500;5- 87;0,5,87,100;Alluvial;Liat berpasir;5.5-6.5;0,5.5,6.5,10.0;5.5-16;0,8,16,25;500-2000;0,500,2000,1200
