,Desa/Kelurahan,Luas Lahan,Iklim,Suhu,Curah Hujan,Kelembapan Udara,Jenis Tanah,Tekstur Tanah,Ph Tanah,Kemiringan Lahan,Tinggi Tempat
0,Kota Uneng,255,Subtropik ,23.5,1023.5,62.5,['mediteran'],"['lempung berpasir', 'bedebu']",6.75,2.0,37.5
1,Nangalimang,203,Subtropik ,23.5,1023.5,62.5,['mediteran'],"['lempung berpasir', 'bedebu']",6.75,2.0,50.0
2,Wuring,1650,Subtropik ,23.5,1023.5,62.5,['mediteran'],"['liat berpasir', 'lempung bedebu']",5.1,35.5,250.0
3,Wolomarang,700,Subtropik ,23.5,1023.5,62.5,['mediteran'],"['liat berpasir', 'lempung bedebu']",5.1,35.5,250.0
4,Tilang,1545,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,27.0,500.0
5,Lusitada,770,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,27.0,500.0
6,Bloro,763,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,27.0,500.0
7,Tebuk,628,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,11.0,500.0
8,Nita,196,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,11.0,500.0
9,Takaplager,410,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,27.0,500.0
10,Nitakloang,888,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,27.0,500.0
11,Wuliwutik,881,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,49.5,500.0
12,Ladogahar,661,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,49.5,500.0
13,Riit,1354,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,80.5,500.0
14,Nirangkliung,4673,Subtropik ,28.0,1725.0,80.0,"['regosol', 'litosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,49.5,500.0
15,Mahebora,1636,Subtropik ,28.0,1725.0,80.0,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",5.1,60.0,500.0
16,Paubekor,325,Subtropik ,23.5,2053.5,82.0,"['regosol', 'latosol']",['lempung  bedebu'],5.75,23.5,125.0
17,Koting A,301,Subtropik ,23.5,2053.5,82.0,"['regosol', 'latosol']",['lempung  bedebu'],5.75,11.0,100.0
18,Koting B,272,Subtropik ,23.5,2053.5,82.0,"['regosol', 'latosol']",['lempung  bedebu'],5.1,11.0,110.0
19,Koting C,387,Subtropik ,23.5,2053.5,82.0,"['regosol', 'latosol']",['lempung  bedebu'],5.75,27.0,120.0
20,Korowuwu,353,Subtropik ,29.0,1553.0,70.0,['alluvial'],"['lempung berpasir', 'lempung bedebu']",5.5,4.0,70.0
21,Kolidetung,398,Subtropik ,29.0,1553.0,70.0,['alluvial'],"['lempung berpasir', 'lempung bedebu']",5.5,4.0,42.5
22,Peli baler,706,Subtropik ,23.5,10545.0,62.5,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",6.5,20.0,375.0
23,Wolomotong,444,Subtropik ,23.5,10545.0,62.5,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",6.5,20.0,375.0
24,Kloangpopot,706,Subtropik ,23.5,10545.0,62.5,"['regusol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",6.5,20.0,375.0
25,Watumerak,350,Subtropik ,23.5,10545.0,62.5,"['regosol', 'latosol', 'grumosol']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",6.5,20.0,375.0
26,Nebe,1201,Subtropik ,27.5,1023.5,65.0,['grumosol'],"['lempung berpasir', 'liat']",6.75,1.5,125.0
27,Bangkoor,1100,Subtropik ,27.5,1023.5,65.0,['grumosol'],"['lempung berpasir', 'liat']",6.75,1.5,125.0
28,Talibura,1868,Subtropik ,27.5,1023.5,65.0,['grumosol'],"['lempung berpasir', 'liat']",6.75,6.0,125.0
29,Nangahale,1378,Subtropik ,27.5,1023.5,65.0,['grumosol'],"['lempung berpasir', 'liat']",6.75,1.5,125.0
30,Kolisia,4808,Subtropik ,23.5,1143.5,65.0,"['latosol', 'alluvial']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",6.75,30.0,500.0
31,Kolisia B,991,Subtropik ,23.5,1143.5,65.0,"['latosol', 'alluvial']","['liat', 'liat berpasir', 'lempung berpasir', 'lempung bedebu']",6.75,30.0,500.0
32,Wairbeler,861,Subtropik ,28.0,721.0,70.0,['grumosol'],['liat berpasir'],6.5,11.0,500.0
